stop_id,lirr237,lirr241,lirr73,lirr74,lirr76,lirr77,lirr78,lirr83,lirr84,lirr85,lirr89,lirr90,lirr91,lirr92,lirr94,lirr99,lirr100,lirr101,lirr102,lirr107,lirr111,lirr113,lirr114,lirr117,lirr118,lirr119,lirr120,lirr122,lirr123,lirr124,lirr125,lirr126,lirr127,lirr129,lirr130,lirr131,lirr132,lirr135,lirr136,lirr140,lirr141,lirr142,lirr148,lirr149,lirr152,lirr153,lirr154,lirr155,lirr157,lirr162,lirr163,lirr164,lirr165,lirr171,lirr175,lirr176,lirr179,lirr180,lirr182,lirr183,lirr184,lirr185,lirr187,lirr190,lirr191,lirr193,lirr195,lirr198,lirr202,lirr204,lirr205,lirr211,lirr213,lirr214,lirr215,lirr216,lirr217,lirr219,lirr220,lirr223,lirr225,lirr226,lirr1,lirr2,lirr4,lirr8,lirr11,lirr13,lirr14,lirr16,lirr20,lirr21,lirr23,lirr25,lirr26,lirr27,lirr29,lirr31,lirr32,lirr33,lirr36,lirr38,lirr39,lirr40,lirr42,lirr44,lirr48,lirr50,lirr51,lirr52,lirr55,lirr56,lirr59,lirr63,lirr64,lirr65,lirr66,lirr67,lirr68,lirr71,lirr72,lirr233,lirr_elmhurst
lirr237,,,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
lirr241,,,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,,O,O,O,O,,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,,,O,O,O,O,O,O,O,O,,O,
lirr73,I,I,,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,I,I,I,,,I,,,,,,I,,I,,,,,,,,I,,I,I,I,,,,,,,I,,,,,,,,,I,I,,,,,I,I,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr74,I,I,,,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,O,,O,,,,I,,,I,,I,I,,I,,O,,,O,,O,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr76,I,I,,,,I,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,I,,,I,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,O,,I,,,
lirr77,I,I,,,O,,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,I,,,O,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,O,,O,,,
lirr78,I,I,,,,,,,,,I,I,I,I,,,,,I,I,O,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,O,,,,,,O,,,I,,,,,,,,,,,O,,,O,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr83,I,I,,I,,,,,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,O,,,I,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,I,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,I,
lirr84,I,I,,,,,,,,,I,I,,,,,,,I,I,,,,,I,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,I,,,,,,,,,,,,I,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,,,,,,,I,,,I,,,I,,,,,I,,,,
lirr85,I,I,,,,,,,,,,I,,,,,,,I,I,,,,,I,I,,I,,I,,,,,,,,,,,,I,I,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,O,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
lirr89,I,I,O,O,O,O,O,O,O,,,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,O,O,,,O,,,O,O,,I,O,O,O,O,,O,,O,O,O,,O,O,O,,O,,,O,,O,O,O,O,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,O,,O,O,O,,,O,O,,O,O,,O,O,I,,O,I,,O,O,,,,O,O,O,,O,
lirr90,,,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,,O,O,O,O,I,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,,O,O,,,O,O,O,O,O,O,O,O,,O,
lirr91,I,I,,,,,O,,,,I,I,,I,,,,,I,I,O,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,O,,,,,,O,,,I,,,,,,,,,,,O,,,O,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr92,I,I,O,O,,,O,O,,,I,I,O,,,,O,,I,I,O,,,,I,,,,,,,O,I,O,,,I,,,O,O,,I,,I,O,,,O,,O,O,O,,I,O,O,,,,,,,O,O,O,,O,O,O,O,,I,I,,,,,O,O,,,,,O,,,O,O,,O,O,I,,O,O,O,,,O,,,I,O,,O,O,I,,,I,,O,I,,,,,,,,O,
lirr94,I,I,,,,,,,,,,I,,,,,,O,I,I,,,O,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,O,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,I,,,I,,,,,O,I,,,,,,
lirr99,I,I,,,,,,,,,,I,,,,,,,I,I,,O,,,I,I,,I,,,I,,,,,,,,,,,,I,,,,,I,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,I,,I,,,,,,,,,,,,
lirr100,I,I,,O,,,,O,,,I,I,,I,,,,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,O,,O,,,,I,,,I,,I,I,,I,,O,,,O,,O,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr101,I,I,,,,,,,,,,I,,,I,,,,I,I,,,I,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,I,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,I,,,I,,,,,O,I,,,,,,
lirr102,I,I,O,O,O,O,O,O,O,O,O,I,O,O,O,O,O,O,,I,O,O,O,O,I,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,I,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,I,O,O,I,,O,O,O,O,O,O,O,O,,O,
lirr107,I,,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,,O,O,O,O,,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,,O,O,I,,O,O,O,O,O,O,O,O,,O,
lirr111,I,I,,,,,I,,,,I,I,I,I,,,,,I,I,,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,I,,,,,,O,,,I,,,,,,,,,,,O,,,O,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr113,I,I,,,,,,,,,,I,,,,I,,,I,I,,,,,I,I,,I,,,I,,,,,,,,,,,,I,,,,,I,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,I,,I,,,,,,,,,,,,
lirr114,I,I,,,,,,,,,,I,,,I,,,O,I,I,,,,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,I,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,I,,,I,,,,,O,I,,,,,,
lirr117,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,,I,I,,I,,,I,,,,,,,I,I,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,I,,O,,,O,,O,,I,,I,I,,,,,,I,I,,,O,I,,O,,I,,O,,,O,O,,,,,,I,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr118,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,,O,O,,,O,O,O,O,O,O,O,O,,O,
lirr119,I,I,,O,,,,O,,O,,I,,,O,O,O,O,I,I,,O,O,O,I,,,O,,O,O,,,,,,,O,O,O,O,O,I,,,,,O,O,,O,,,,,,,O,,O,,,O,,O,,,O,,O,,O,,I,O,O,O,O,,,O,O,,,O,O,,O,,O,,O,,,O,O,,O,O,,,O,,,,,O,I,O,,I,,,,O,O,O,,,,,O,
lirr120,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,I,,,,,,,,,,,I,,,,,,,I,,,,,,,,,O,,I
lirr122,I,I,,O,,,,O,,O,,I,,,O,O,O,O,I,I,,O,O,O,I,I,,,,O,O,,,,,,,O,O,O,O,O,I,,,,,O,O,,O,,,,,,,O,,O,,,O,,O,,,O,,O,,O,,I,O,O,O,O,,,O,O,,,O,O,,O,,O,,O,,,O,O,,O,O,,,O,,,,,O,I,O,,I,,,,O,O,O,,,,,O,
lirr123,I,I,,,I,I,,,,,I,I,,,,,,,I,I,,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,I,,,I,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,I,,I,,,
lirr124,I,I,,,,,,,,O,,I,,,,,,,I,I,,,,,I,I,,I,,,,,,,,,,,,,,I,I,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,O,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
lirr125,I,I,,O,,,,O,,,,I,,,,O,O,,I,I,,O,,O,I,I,,I,,,,,,,,,,O,O,O,O,,I,,,,,O,O,,O,,,,,,,I,,O,I,,O,,O,,,O,,O,,I,,I,O,,,,,,O,O,,,O,O,,O,,O,,O,,,O,O,,O,,,,O,,,,,O,I,O,,I,,,,O,,,,,,,O,
lirr126,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,,I,I,,,I,,,,,,I,,I,,,,,,,,I,,I,I,I,,,,,,,O,,,,,,,,,I,I,,,,,I,I,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr127,I,I,O,O,O,O,O,O,,,I,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,,O,,,O,,,O,O,,I,,I,O,O,,O,,O,O,O,,I,O,O,,O,,,O,,O,O,O,,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,I,,O,O,O,,,O,,,O,O,,O,O,I,,O,I,,O,I,,,,O,,O,,O,
lirr129,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,,,,I,,,,,,I,,I,,,,,,,,I,,I,O,I,,,,,,,O,,,,,,,,,I,I,,,,,I,O,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr130,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,O,,,O,,,,,,,O,,,,,,,,,,,O,,,,,,,I,,,,,,,,,O,,I
lirr131,I,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,I,,,,,,,,,,,I,,,,,,,I,,,,,,,,,I,,I
lirr132,I,I,O,O,O,O,O,O,,,I,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,I,O,,,,,,O,O,,I,,I,O,O,,O,,O,O,O,,I,O,O,,O,,,O,,O,O,O,,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,I,,O,O,O,,,O,,,O,O,,O,O,I,,O,I,,O,I,,,,O,,O,,O,
lirr135,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,,I,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,I,,O,,,O,,O,,I,,I,I,,,,,,I,I,,,O,O,,O,,I,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr136,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,I,,O,,,O,,O,,I,,I,I,,,,,,I,I,,,O,O,,O,,I,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr140,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,O,,,O,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,I,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr141,I,I,,I,,,,I,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,I,,,I,,I,,I,I,I,I,,,,,,I,I,,,I,I,,I,,I,,I,I,,I,I,,,,,,I,I,,,,I,I,,,I,,,I,I,,,,,,,I,
lirr142,I,I,,,,,,,,O,,I,,,,,,,I,I,,,,,I,I,,I,,O,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,O,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
lirr148,,I,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,,O,O,O,O,,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,,,O,O,O,O,O,O,O,O,,O,
lirr149,I,I,,,,,,,O,,I,I,,,,,,,I,I,,,,,I,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,I,,,,,,,,,,,,I,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,O,,,,,,,I,,,I,,,I,,,,,O,,,,
lirr152,I,I,O,O,O,O,O,O,,,I,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,O,O,,,O,,,O,O,,I,,,O,O,,O,,O,O,O,,I,O,O,,O,,,O,,O,O,O,,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,I,,O,O,O,,,O,,,O,O,,O,O,I,,O,I,,O,I,,,,O,,O,,O,
lirr153,I,I,,,,,I,,,,I,I,I,I,,,,,I,I,O,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,,,,,,,O,,,I,,,,,,,,,,,O,,,O,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr154,I,I,,,I,I,,,,,I,I,,,,,,,I,I,,,,,I,,,,I,,,,I,,,,I,,,,,,I,,I,,,,,,,,,,I,,,,I,,,I,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,I,,I,,,
lirr155,I,I,,,,,,,,,,I,,,,O,,,I,I,,O,,,I,I,,I,,,I,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,I,,I,,,,,,,,,,,,
lirr157,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,,,O,,,,I,,,I,,I,I,,I,,O,,,O,,O,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr162,I,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,I,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,I,,,,,,,,,,,I,,,,,,,I,,,,,,,,,I,,I
lirr163,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,I,,,,,,I,,,I,,I,I,,I,,O,,,O,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr164,I,I,,,,,I,,,,I,I,I,I,,,,,I,I,I,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,I,,,,,,,,,I,,,,,,,,,,,I,,,I,,I,,I,I,,,,,,,,,,,,,,,I,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr165,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,O,O,,,,,,,,,,,I,,I,,,,O,,,O,,,I,,,O,,I,,,I,,I,I,,,,,,,,,
lirr171,I,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,I,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,I,,,,,,,,,,,I,,,,,,,I,,,,,,,,,I,,I
lirr175,I,I,O,O,O,O,O,O,O,,I,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,O,O,,,O,,,O,O,,I,O,O,O,O,,O,,O,O,O,,,O,O,,O,,,O,,O,O,O,O,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,O,,O,O,O,,,O,O,,O,O,,O,O,I,,O,I,,O,O,,,,O,O,O,,O,
lirr176,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,I,,,I,,,,,,I,,I,,,,,,,,I,,I,,I,,,,,,,O,,,,,,,,,I,I,,,,,I,I,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr179,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,I,,I,O,,,,,,,,O,,,,,,,,,I,I,,,,,I,O,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
