stop_id,lirr237,lirr241,lirr73,lirr74,lirr76,lirr77,lirr78,lirr83,lirr84,lirr85,lirr89,lirr90,lirr91,lirr92,lirr94,lirr99,lirr100,lirr101,lirr102,lirr107,lirr111,lirr113,lirr114,lirr117,lirr118,lirr119,lirr120,lirr122,lirr123,lirr124,lirr125,lirr126,lirr127,lirr129,lirr130,lirr131,lirr132,lirr135,lirr136,lirr140,lirr141,lirr142,lirr148,lirr149,lirr152,lirr153,lirr154,lirr155,lirr157,lirr162,lirr163,lirr164,lirr165,lirr171,lirr175,lirr176,lirr179,lirr180,lirr182,lirr183,lirr184,lirr185,lirr187,lirr190,lirr191,lirr193,lirr195,lirr198,lirr202,lirr204,lirr205,lirr211,lirr213,lirr214,lirr215,lirr216,lirr217,lirr219,lirr220,lirr223,lirr225,lirr226,lirr1,lirr2,lirr4,lirr8,lirr11,lirr13,lirr14,lirr16,lirr20,lirr21,lirr23,lirr25,lirr26,lirr27,lirr29,lirr31,lirr32,lirr33,lirr36,lirr38,lirr39,lirr40,lirr42,lirr44,lirr48,lirr50,lirr51,lirr52,lirr55,lirr56,lirr59,lirr63,lirr64,lirr65,lirr66,lirr67,lirr68,lirr71,lirr72,lirr233,lirr_elmhurst
lirr180,I,I,,O,,,,O,,O,,I,,,O,O,O,O,I,I,,O,O,O,I,I,,I,,O,O,,,,,,,O,O,O,O,O,I,,,,,O,O,,O,,,,,,,,,O,,,O,,O,,,O,,O,,O,,I,O,O,O,O,,,O,O,,,O,O,,O,,O,,O,,,O,O,,O,O,,,O,,,,,O,I,O,,I,,,,O,O,O,,,,,O,
lirr182,I,I,,,O,O,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,,,,O,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,O,,O,,,
lirr183,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,,I,,O,,O,,,O,,O,,I,,I,O,,,,,,O,O,,,O,O,,O,,O,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,O,,,,,,,O,
lirr184,I,I,,O,,,,O,,,,I,,,,O,O,,I,I,,O,,O,I,,,,,,O,,,,,,,O,O,O,O,,I,,,,,O,O,,O,,,,,,,,,O,,,O,,O,,,O,,O,,,,I,O,,,,,,O,O,,,O,O,,O,,O,,O,,,O,O,,O,,,,O,,,,,O,I,O,,I,,,,O,,,,,,,O,
lirr185,I,I,,,O,I,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,O,,I,,,
lirr187,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,,,O,,,O,,O,,I,,I,I,,,,,,I,I,,,O,O,,O,,I,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr190,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,I,I,I,,,I,,,,,,I,,I,,,,,,,,I,,I,I,I,,,,,,,,,,,,,,,,I,I,,,,,I,I,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr191,I,I,,I,,,,I,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,,,,I,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,I,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,I,
lirr193,I,I,,,,,I,,,,I,I,I,I,,,,,I,I,I,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,I,,,,,,O,,,I,,,,,,,,,,,,,,I,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr195,I,I,,,,,,,O,,I,I,,,,,,,I,I,,,,,I,,,,,,,,,,,,,,,,,,I,O,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,O,,,,,,,I,,,I,,,I,,,,,O,,,,
lirr198,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,O,,,,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,I,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr202,I,I,,,,,I,,,,I,I,I,I,,,,,I,I,I,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,I,,,,,,O,,,I,,,,,,,,,,,O,,,,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr204,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,I,,O,,,,I,,,I,,I,I,,I,,O,,,O,,,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr205,I,I,,,,,O,,,,I,I,O,I,,,,,I,I,O,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,O,,,,,,O,,,I,,,,,,,,,,,O,,,O,,,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,O,,,,I,,,I,,,I,,,,,,,,,
lirr211,I,I,,O,,,,O,,O,,I,,,O,O,O,O,I,I,,O,O,O,I,I,,I,,O,O,,,,,,,O,O,O,O,O,I,,,,,O,O,,O,,,,,,,I,,O,,,O,,O,,,O,,O,,,,I,O,O,O,O,,,O,O,,,O,O,,O,,O,,O,,,O,O,,O,O,,,O,,,,,O,I,O,,I,,,,O,O,O,,,,,O,
lirr213,I,I,O,O,,,O,O,,,I,I,O,O,,,O,,I,I,O,,,,I,,,,,,,O,I,O,,,I,,,O,O,,I,,I,O,,,O,,O,O,O,,I,O,O,,,,,,,O,O,O,,O,O,O,O,,,I,,,,,O,O,,,,,O,,,O,O,,O,O,I,,O,O,O,,,O,,,I,O,,O,O,I,,,I,,O,I,,,,,,,,O,
lirr214,I,,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
lirr215,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,O,,O,,,O,,O,,I,,I,,,,,,,I,I,,,O,O,,O,,I,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr216,I,I,,,,,,,,I,,I,,,,,,,I,I,,,,,I,I,,I,,I,,,,,,,,,,,,I,I,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
lirr217,I,I,,,,,,,,,,I,,,I,,,O,I,I,,,O,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,I,,,I,,,,,O,I,,,,,,
lirr219,I,I,,,,,,,,O,,I,,,,,,,I,I,,,,,I,I,,I,,O,,,,,,,,,,,,O,I,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
lirr220,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,I,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,,O,,,,,,,,,,,I,,I,,,,O,,,O,,,I,,,O,,I,,,I,,I,I,,,,,,,,,
lirr223,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,I,,,I,,,,,,I,,I,,,,,,,,I,,I,O,I,,,,,,,O,,,,,,,,,I,I,,,,,I,,,,,,,,,,,,I,,I,,,,I,,,I,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr225,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,O,,O,,,O,,O,,I,,I,O,,,,,,,O,,,O,O,,O,,O,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,O,,,,,,,O,
lirr226,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,O,,O,,,O,,O,,I,,I,O,,,,,,I,,,,O,O,,O,,O,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr1,I,I,,,O,O,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,O,,,O,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,O,,O,,,
lirr2,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,I,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,I,,,,,,,O,,,,,,,,,,,O,,,,,,,I,,,,,,,,,O,,I
lirr4,I,I,,I,,,,I,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,I,,,I,,I,,I,I,I,I,,,,,,I,I,,,,I,,I,,I,,I,I,,I,I,,,,,,I,I,,,,I,I,,,I,,,I,I,,,,,,,I,
lirr8,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,I,I,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,I,,O,,,O,,O,,I,,I,I,,,,,,I,I,,,O,,,O,,I,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr11,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,I,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,O,,,,,,,,,,O,,,,,,,,,,,O,,,,,,,I,,,,,,,,,O,,I
lirr13,I,I,,I,,,,I,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,I,,,I,,I,,I,I,I,I,,,,,,I,I,,,O,I,,,,I,,I,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,I,
lirr14,I,I,,,,,I,,,,I,I,I,I,,,,,I,I,I,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,I,,,,,,O,,,I,,,,,,,,,,,I,,,I,,I,,I,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,I,,,,I,,,I,,,I,,,,,,,,,
lirr16,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,O,,O,,,O,,O,,I,,I,O,,,,,,I,I,,,O,O,,O,,,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr20,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,O,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,O,O,,,,,,,,,,,,,I,,,,O,,,O,,,I,,,O,,I,,,I,,O,I,,,,,,,,,
lirr21,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,O,,,O,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr23,I,I,O,O,O,O,O,O,O,,I,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,O,O,,,O,,,O,O,,I,O,O,O,O,,O,,O,O,O,,I,O,O,,O,,,O,,O,O,O,O,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,,,O,O,O,,,O,O,,O,O,,O,O,I,,O,I,,O,O,,,,O,O,O,,O,
lirr25,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,I,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,,,,,,,,,,,,O,,,,,,,I,,,,,,,,,O,,I
lirr26,I,I,,O,,,,O,,,I,I,,I,,,O,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,O,,O,,,,I,,,I,,I,I,,I,,O,,,O,,O,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr27,I,I,,O,,,,O,,,I,I,,I,,,O,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,O,O,,I,,I,,,,O,,O,,,,I,,,I,,I,I,,I,,O,,,O,,O,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,O,I,,O,,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,O,
lirr29,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,I,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,I,O,,,,,,,,,,,I,,I,,,,,,,O,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr31,I,I,,,,,,,,,,I,,,,O,,,I,I,,O,,,I,I,,I,,,I,,,,,,,,,,,,I,,,,,O,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,O,,I,,,,,,,,,,,,
lirr32,I,I,,,,,,,,,,I,,,I,,,O,I,I,,,O,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,,,O,I,,,,,,
lirr33,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,I,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,I,O,,,,,,,,,,,I,,I,,,,I,,,,,,I,,,I,,I,,,I,,I,I,,,,,,,,,
lirr36,I,I,,,,,,,O,,I,I,,,,,,,I,I,,,,,I,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,I,,,,,,,,,,,,I,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,I,,,I,,,,,I,,,,
lirr38,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,I,I,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,I,,O,,,O,,O,,I,,I,I,,,,,,I,I,,,O,I,,O,,I,,O,,,O,O,,,,,,,,,,,O,I,,,I,,,,I,,,,,,,O,
lirr39,I,I,O,O,,,O,O,,,I,I,O,O,,,O,,I,I,O,,,,I,,,,,,,O,I,O,,,I,,,O,O,,I,,I,O,,,O,,O,O,O,,I,O,O,,,,,,,O,O,O,,O,O,O,O,,O,I,,,,,O,O,,,,,O,,,O,O,,O,O,I,,O,O,O,,,O,,,,O,,O,O,I,,,I,,O,I,,,,,,,,O,
lirr40,I,I,,,,,O,,,,I,I,O,I,,,,,I,I,O,,,,I,,,,,,,,I,,,,I,,,,,,I,,I,O,,,,,,O,,,I,,,,,,,,,,,O,,,O,,I,,I,I,,,,,,,,,,,,,,,O,,,,I,,,,,,,,,,I,,,,,I,,,I,,,I,,,,,,,,,
lirr42,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,I,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,I,,,,,,,,,,,,,,,,,,I,,,,,,,,,O,,I
lirr44,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,I,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,I,O,,,,,,,,,,,I,,I,,,,O,,,O,,,I,,,,,I,,,I,,I,I,,,,,,,,,
lirr48,I,I,,I,,,,I,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,I,,,I,,I,,I,I,I,I,,,,,,I,I,,,O,I,,I,,I,,I,I,,I,I,,,,,,I,I,,,,,I,,,I,,,I,I,,,,,,,I,
lirr50,,I,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,,O,O,O,O,,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,I,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,,O,O,,,O,O,O,O,O,O,O,O,,O,
lirr51,I,I,,,,,,,,,,I,,,,O,,,I,I,,O,,,I,I,,I,,,I,,,,,,,,,,,,I,,,,,O,,,,,,,,,,I,,,I,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,,,,,,
lirr52,I,I,,,O,O,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,O,,,O,,,,,,,,,,,,I,,,,,,,,,O,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,I,,,I,,,,O,,O,,,
lirr55,I,,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,O,,O,O,O,O,O,O,O,,,O,O,O,O,O,O,,O,O,O,O,O,O,,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I,O,O,O,O,O,O,O,O,O,,O,O,,O,O,O,O,O,O,,O,O,O,O,O,O,O,O,O,O,,O,O,,O,O,,,O,O,O,O,O,O,O,O,,O,
lirr56,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,O,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,O,,,O,,,,,,,O,,,,,,,,,,,O,,,,,,,,,,,,,,,,O,,I
lirr59,I,I,O,,,,,,,,I,I,,I,,,,,I,I,,,,,I,,,,,,,O,I,O,,,I,,,,,,I,,I,,,,,,,,O,,I,O,O,,,,,,,O,,,,,,,,,I,I,,,,,O,O,,,,,,,,,,,I,,I,,,,O,,,O,,,I,,,O,,I,,,I,,,I,,,,,,,,,
lirr63,I,I,O,O,O,O,O,O,O,,I,I,O,O,,,O,,I,I,O,,,,I,,,,O,,,O,O,O,,,O,,,O,O,,I,O,O,O,O,,O,,O,O,O,,I,O,O,,O,,,O,,O,O,O,O,O,O,O,O,,O,I,,,,,O,O,,,O,,O,,,O,O,,O,O,I,,O,O,O,,,O,O,,O,O,,O,O,I,,O,I,,O,,,,,O,O,O,,O,
lirr64,I,I,,O,,,,O,,,,I,,,,,O,,I,I,,,,O,I,I,,I,,,I,,,,,,,O,O,O,O,,I,,,,,,O,,O,,,,,,,I,,I,I,,O,,O,,,O,,O,,I,,I,O,,,,,,I,O,,,O,O,,O,,O,,O,,,O,O,,,,,,O,,,,,O,I,,,I,,,,,,,,,,,O,
lirr65,I,I,,,,,,,,,,I,,,I,,,I,I,I,,,I,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,I,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,I,,,I,,,,,,I,,,,,,
lirr66,I,I,,,,,,,,,,I,,,O,,,O,I,I,,,O,,I,I,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,I,,I,,,O,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,I,,,I,,,,,O,,,,,,,
lirr67,I,I,,,I,I,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,I,,,I,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,,,I,,,
lirr68,I,I,,,,,,,O,,I,I,,,,,,,I,I,,,,,I,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,I,,,,,,,,,,,,I,,,,,,,I,,,,,,,,,,,,,,,,,,,I,,,,,,,,O,,,,,,,I,,,I,,,I,,,,,,,,,
lirr71,I,I,,,O,I,,,,,I,I,,,,,,,I,I,,,,,I,,,,O,,,,I,,,,I,,,,,,I,,I,,O,,,,,,,,I,,,,I,,,O,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,,,,,,I,,I,I,,,I,,,,O,,,,,
lirr72,I,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,I,,,I,,,,,,,I,,,,,,,,,,,I,,,,,,,I,,,,,,,,,,,I
lirr233,I,I,,I,,,,O,,,I,I,,I,,,I,,I,I,,,,I,I,I,,I,,,I,,I,,,,I,I,I,I,O,,I,,I,,,,I,,I,,,,I,,,I,,I,I,,I,,O,,,I,,I,,I,I,I,I,,,,,,I,I,,,O,I,,O,,I,,I,I,,I,I,,,,,,I,I,,,,O,I,,,I,,,I,I,,,,,,,,
lirr_elmhurst,I,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,O,O,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,O,,,O,,,,,,,O,,,,,,,,,,,O,,,,,,,O,,,,,,,,,O,,
